id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P4-54,52.5,51,54,-71.1669,111.3665,75,0.0545,0.0521,0.0274,0.0651,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-57,55.5,54,57,-71.1669,111.3665,65,0.0634,0.0608,0.0317,0.0802,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-60,58.5,57,60,-71.1669,111.3665,54,0.0594,0.0589,0.0288,0.0729,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-63,61.5,60,63,-71.1669,111.3665,51,0.0579,0.0578,0.0278,0.0514,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-66,64.5,63,66,-71.1669,111.3665,53,0.0579,0.0578,0.0278,0.032,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-69RR,67.5,66,69,-71.1669,111.3665,55,0.0577,0.0578,0.0277,0.0332,1,0.0005,0.0008,0.0003,0.0011,p4,ABN,122,0
CHICH_P4-72,70.5,69,72,-71.1669,111.3665,57,0.0597,0.0603,0.0284,0.0305,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-75,73.5,72,75,-71.1669,111.3665,61,0.0588,0.0605,0.0273,0.0408,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-78,76.5,75,78,-71.1669,111.3665,67,0.0571,0.0587,0.0266,0.0447,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-81,79.5,78,81,-71.1669,111.3665,71,0.0513,0.0529,0.0238,0.0366,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-84,82.5,81,84,-71.1669,111.3665,64,0.0496,0.0495,0.0238,0.0517,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-87,85.5,84,87,-71.1669,111.3665,55,0.0498,0.0511,0.0232,0.0458,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-90,88.5,87,90,-71.1669,111.3665,53,0.0485,0.0507,0.0222,0.0361,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-93,91.5,90,93,-71.1669,111.3665,52,0.0478,0.0501,0.0217,0.0358,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-96,94.5,93,96,-71.1669,111.3665,52,0.0507,0.0518,0.0237,0.034,1,0.0012,0.0023,0.0002,0.0008,p4,ABN,122,0
CHICH_P4-99,97.5,96,99,-71.1669,111.3665,53,0.0519,0.0539,0.0238,0.0315,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-102,100.5,99,102,-71.1669,111.3665,55,0.0505,0.0528,0.023,0.0292,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
