distance.km,plot.dist.mean,elevation.rema
251.6,251.75,2821
251.9,252,2822
252.1,252.2,2822
252.3,252.4,2822
252.5,252.6,2823
252.7,252.85,2823
253,253.1,2823
253.2,253.3,2823
253.4,253.5,2823
253.6,253.7,2823
253.8,253.95,2823
254.1,254.2,2824
254.3,254.4,2824
254.5,254.6,2825
254.7,254.8,2825
254.9,255.05,2825
255.2,255.3,2825
255.4,255.5,2826
255.6,255.7,2825
255.8,255.9,2826
256,256.15,2827
256.3,256.4,2827
256.5,256.6,2828
256.7,256.8,2829
256.9,257,2830
257.1,257.25,2830
257.4,257.5,2832
257.6,257.7,2833
257.8,257.9,2835
258,258.1,2836
258.2,258.35,2837
258.5,258.6,2839
258.7,258.8,2840
258.9,259,2842
259.1,259.2,2843
259.3,259.45,2844
259.6,259.7,2844
259.8,259.9,2845
260,260.1,2845
260.2,260.3,2846
260.4,260.55,2846
260.7,260.8,2846
260.9,261,2846
261.1,261.2,2844
261.3,261.4,2845
261.5,261.65,2843
261.8,261.9,2843
262,262.1,2842
262.2,262.3,2842
262.4,262.5,2841
262.6,262.75,2841
262.9,263,2842
263.1,263.2,2841
263.3,263.4,2842
263.5,263.6,2842
263.7,263.85,2842
264,264.1,2842
264.2,264.3,2842
264.4,264.5,2842
264.6,264.7,2842
264.8,264.9,2842
265,265.15,2841
265.3,265.4,2841
265.5,265.6,2840
265.7,265.8,2840
265.9,266,2839
266.1,266.25,2838
266.4,266.5,2837
266.6,266.7,2837
266.8,266.9,2836
267,267.1,2836
267.2,267.35,2835
267.5,267.6,2835
267.7,267.8,2835
267.9,268,2835
268.1,268.2,2835
268.3,268.45,2835
268.6,268.7,2836
268.8,268.9,2836
269,269.1,2836
269.2,269.3,2837
269.4,269.55,2837
269.7,269.8,2838
269.9,270,2838
270.1,270.2,2838
270.3,270.4,2838
270.5,270.65,2839
270.8,270.9,2838
271,271.1,2839
271.2,271.3,2840
271.4,271.5,2840
271.6,271.75,2840
271.9,272,2840
272.1,272.2,2840
272.3,272.4,2840
272.5,272.6,2839
272.7,272.85,2839
273,273.1,2839
273.2,273.3,2839
273.4,273.5,2838
273.6,273.7,2839
273.8,273.95,2838
274.1,274.2,2838
274.3,274.4,2838
274.5,274.6,2838
274.7,274.8,2837
274.9,275.05,2838
275.2,275.3,2837
275.4,275.5,2837
275.6,275.7,2837
275.8,275.9,2837
276,276.1,2837
276.2,276.35,2836
276.5,276.6,2837
276.7,276.8,2836
276.9,277,2836
277.1,277.2,2836
277.3,277.45,2836
277.6,277.7,2836
277.8,277.9,2836
278,278.1,2836
278.2,278.3,2836
278.4,278.55,2836
278.7,278.8,2837
278.9,279,2837
279.1,279.2,2837
279.3,279.4,2837
279.5,279.65,2838
279.8,279.9,2838
280,280.1,2839
280.2,280.3,2839
280.4,280.5,2839
280.6,280.75,2839
280.9,281,2840
281.1,281.2,2840
281.3,281.4,2840
281.5,281.6,2839
281.7,281.85,2840
282,282.1,2840
282.2,282.3,2839
282.4,282.5,2840
282.6,282.7,2839
282.8,282.95,2839
283.1,283.2,2839
283.3,283.4,2839
283.5,283.6,2839
283.7,283.8,2839
283.9,284.05,2839
284.2,284.3,2839
284.4,284.5,2839
284.6,284.7,2839
284.8,284.9,2840
285,285.15,2840
285.3,285.4,2840
285.5,285.6,2840
285.7,285.8,2840
285.9,286,2840
286.1,286.25,2840
286.4,286.5,2841
286.6,286.7,2841
286.8,286.9,2841
287,287.1,2841
287.2,287.35,2841
287.5,287.6,2842
287.7,287.8,2842
287.9,288,2842
288.1,288.2,2842
288.3,288.4,2842
288.5,288.65,2842
288.8,288.9,2842
289,289.1,2842
289.2,289.3,2842
289.4,289.5,2843
289.6,289.75,2843
289.9,290,2843
290.1,290.2,2843
290.3,290.4,2843
290.5,290.6,2843
290.7,290.85,2844
291,291.1,2844
291.2,291.3,2844
291.4,291.5,2845
291.6,291.7,2846
291.8,291.95,2846
292.1,292.2,2846
292.3,292.4,2847
292.5,292.6,2847
292.7,292.8,2847
292.9,293.05,2847
293.2,293.3,2848
293.4,293.5,2848
293.6,293.7,2848
293.8,293.9,2847
294,294.15,2847
294.3,294.4,2847
294.5,294.6,2847
294.7,294.8,2846
294.9,295,2846
295.1,295.25,2846
295.4,295.5,2845
295.6,295.7,2845
295.8,295.9,2844
296,296.1,2844
296.2,296.35,2844
296.5,296.6,2843
296.7,296.8,2843
296.9,297,2843
297.1,297.2,2843
297.3,297.45,2843
297.6,297.7,2843
297.8,297.9,2843
298,298.1,2843
298.2,298.3,2843
298.4,298.55,2843
298.7,298.8,2844
298.9,299,2843
299.1,299.2,2843
299.3,299.4,2843
